City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Ambulu,ID,-8.345,113.6058,74.86,89,45,2.48,scattered clouds
146,Pocatello,US,42.8713,-112.4455,22.91,79,75,15.01,broken clouds
147,Salamiyah,SY,35.0113,37.0532,49.59,70,100,1.52,overcast clouds
148,Lebu,CL,-37.6167,-73.65,64.31,76,0,12.35,clear sky
149,Itarema,BR,-2.9248,-39.9167,80.71,76,100,14.97,overcast clouds
150,Port Alfred,ZA,-33.5906,26.891,77.23,82,100,9.15,overcast clouds
151,Cape Town,ZA,-33.9258,18.4232,70.12,84,20,9.22,few clouds
152,Nhulunbuy,AU,-12.2333,136.7667,79.41,94,100,5.75,overcast clouds
153,Manta,EC,-0.95,-80.7333,76.78,88,100,4.61,overcast clouds
154,Bambanglipuro,ID,-7.95,110.2833,61.61,86,71,4.23,broken clouds
155,Manicore,BR,-5.8092,-61.3003,84.25,74,72,3.15,heavy intensity rain
156,Gujar Khan,PK,33.2558,73.3026,49.62,57,16,5.12,few clouds
157,Puerto Madryn,AR,-42.7692,-65.0385,80.65,33,4,4.81,clear sky
158,Lavrentiya,RU,65.5833,-171.0,-0.02,78,20,16.04,few clouds
159,Areosa,PT,41.7178,-8.8571,61.36,71,0,6.08,clear sky
160,Punta Arenas,CL,-53.15,-70.9167,51.91,50,20,37.98,few clouds
161,Aquidauana,BR,-20.4711,-55.7872,81.73,72,100,6.98,overcast clouds
162,Roebourne,AU,-20.7833,117.1333,83.43,74,98,10.27,overcast clouds
163,Lagoa,PT,39.05,-27.9833,58.44,75,59,17.4,broken clouds
164,Magistralnyy,RU,56.1725,107.4458,-12.23,99,96,2.17,overcast clouds
165,Mbandaka,CD,0.0487,18.2603,78.35,36,70,2.44,broken clouds
166,Atuona,PF,-9.8,-139.0333,78.57,70,17,21.61,few clouds
167,Baltatesti,RO,47.1167,26.3,31.06,94,92,2.86,overcast clouds
168,Tezu,IN,27.9167,96.1667,53.02,91,100,2.28,overcast clouds
169,Salalah,OM,17.0151,54.0924,68.09,52,0,5.75,clear sky
170,Cabo San Lucas,MX,22.8909,-109.9124,76.6,50,0,7.0,clear sky
171,Andenes,NO,69.3143,16.1194,26.58,54,0,14.97,clear sky
172,Charlottesville,US,38.0293,-78.4767,45.41,53,0,1.99,clear sky
173,Komsomolskiy,UZ,40.4272,71.7189,29.62,74,100,6.91,mist
174,Urucara,BR,-2.5364,-57.76,80.22,90,82,2.84,broken clouds
175,Severnyy,RU,50.677,36.5532,24.84,68,0,4.47,clear sky
176,Springbok,ZA,-29.6643,17.8865,68.0,71,89,3.67,overcast clouds
177,Sistranda,NO,63.7256,8.834,23.9,63,100,6.49,overcast clouds
178,Sao Filipe,CV,14.8961,-24.4956,74.73,75,84,2.42,broken clouds
179,Norrtalje,SE,59.758,18.705,23.23,77,91,4.0,overcast clouds
180,Katsuura,JP,35.1333,140.3,39.31,43,42,15.32,scattered clouds
181,Atar,MR,20.5169,-13.0499,77.92,13,70,8.81,broken clouds
182,Hopelchen,MX,19.7667,-89.85,87.08,34,4,5.44,clear sky
183,Kinablangan,PH,7.6947,126.5503,76.71,84,100,4.29,overcast clouds
184,Kerema,PG,-7.9631,145.7785,77.56,77,99,2.84,moderate rain
185,Bloemfontein,ZA,-29.1211,26.214,69.28,78,100,1.14,overcast clouds
